,,,,,,,,,,Bits 9:0,,VALUE
,,VIN_OV_FLT_LIM,MTP Only,0x0B2,178,Protected,16,0x799A,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VIN_OV_FAULT_LIMIT
,,VIN_UV_FLT_LIM,MTP Only,0x0B4,180,Protected,16,0x4E66,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VIN_UV_FAULT_LIMIT
,,STATUS_MFR_MASK,MTP Only,0x0B6,182,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,STATUS_MFR_MASK
,,IIN_OC_FLT_LIM,MTP Only,0x0B8,184,Protected,16,0xD880,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,FREQUENCY_SWITCH,MTP Only,0x0BA,186,Protected,16,0x0AEE,,POR,,Soft-trim in glue_logic
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,MFR_SPECIFIC_PGOOD,MTP Only,0x0BC,188,Protected,16,0x0F0F,,POR,,Soft-trim in glue_logic
,,,,,,,,,,Bits 15:0,,MFR_SPECIFIC_PGOOD
,,STATUS_TEMP_MASK,MTP Only,0x0BE,190,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,STATUS_TEMP_MASK
,,MFR_SPECIFIC_MATRIX,MTP Only,0x0C0,192,Protected,16,0x0FE4,,POR,,Soft-trim in glue_logic
,,,,,,,,,,Bits 15:12,,SPARE
,,,,,,,,,,Bit 11,,SW4_VALID
,,,,,,,,,,Bit 10,,SW3_VALID
,,,,,,,,,,Bit 9,,SW2_VALID
,,,,,,,,,,Bit 8,,SW1_VALID
,,,,,,,,,,Bits 7:6,,SW4
,,,,,,,,,,Bits 5:4,,SW3
,,,,,,,,,,Bits 3:2,,SW2
,,,,,,,,,,Bits 1:0,,SW1
,,STATUS1_IVOUT_MASK,MTP Only,0x0C2,194,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:8,,STATUS1_IOUT_MASK
,,,,,,,,,,Bits 7:0,,STATUS1_VOUT_MASK
,,STATUS2_IVOUT_MASK,MTP Only,0x0C4,196,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:8,,STATUS2_IOUT_MASK
,,,,,,,,,,Bits 7:0,,STATUS2_VOUT_MASK
,,STATUS_CML_MASK,MTP Only,0x0C6,198,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,STATUS_CML_MASK
,,STATUS3_IVOUT_MASK,MTP Only,0x0C8,200,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:8,,STATUS3_IOUT_MASK
,,,,,,,,,,Bits 7:0,,STATUS3_VOUT_MASK
,,STATUS4_IVOUT_MASK,MTP Only,0x0CA,202,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:8,,STATUS4_IOUT_MASK
,,,,,,,,,,Bits 7:0,,STATUS4_VOUT_MASK
,,,MTP Only,0x0CC,204,Protected,16,0x0000,,POR,,
,,,,,,,,,,Bits 15:0,,
,,STATUS_OTHER_MASK,MTP Only,0x0CE,206,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,STATUS_OTHER_MASK
,,MFR_IOUT_MAX,MTP Only,0x0D0,208,Protected,16,0xD880,,POR,,"Read-only, no soft-trim version"
,,,,,,,,,,Bits 15:0,,MFR_IOUT_MAX
,,MFR_VOUT_MIN,MTP Only,0x0D2,210,Protected,16,0x4CCD,,POR,,"Read-only, no soft-trim version"
,,,,,,,,,,Bits 15:0,,MFR_VOUT_MIN
,,ADC_OFFSET_00,MTP Only,0x0D4,212,Protected,16,0xB000,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,VGPR_OFFSET
,,ADC_CH_SEL00,MTP Only,0x0D6,214,Protected,16,0x0084,,POR,,Soft-trim in adc_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:4,,CH_SEL01
,,,,,,,,,,Bits 3:0,,CH_SEL00
,,ADC_GAIN_00,MTP Only,0x0D8,216,Protected,16,0x8000,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,VGPR_GAIN
,,ADC_OFFSET_01,MTP Only,0x0DA,218,Protected,16,0xB000,,POR,,"Used direct from NVM, no soft-trim"
,,,,,,,,,,Bits 15:0,,VIN_OFFSET
,,ADC_GAIN_01,MTP Only,0x0DC,220,Protected,16,0x8000,,POR,,"Used direct from NVM, no soft-trim"
