,,,,,,,,Bit 0,,REFRESH
CPCLKM_STATUS,RW,0xD3,0,,8,,,,Regs,
,,,,,,,,Bit 7,,COMP
,,,,,,,,Bits 6:4,,
,,,,,,,,Bit 3,,OVERFLOW
,,,,,,,,Bit 2,,LONG
,,,,,,,,Bit 1,,SHORT
,,,,,,,,Bit 0,,DONE
NVM_CTRL,RW,0xE0,13,,6,,,,Regs,
,,,,,,,,Bit 5,,ECC_EN
,,,,,,,,Bits 4:3,,
,,,,,,,,Bits 2:0,,SIZE
NVM_ADDR,RW,0xE1,0,,7,,,,Regs,
,,,,,,,,Bits 6:0,,ADDR
NVM_CMD,RW,0xE2,0,,8,,,,Regs,
,,,,,,,,Bit 7,,LOOP
,,,,,,,,Bit 6,,
,,,,,,,,Bits 5:4,,START_PAGE
,,,,,,,,Bit 3,,
,,,,,,,,Bit 2,,RELOAD_CMD
,,,,,,,,Bit 1,,READ_CMD
,,,,,,,,Bit 0,,WRITE_CMD
NVM_STATUS,RO,0xE3,0,,8,,,,Regs,
,,,,,,,,Bit 7,,DBE
,,,,,,,,Bit 6,,SBE
,,,,,,,,Bits 5:4,,LOAD_PAGE
,,,,,,,,Bit 3,,LOAD_ERR
,,,,,,,,Bit 2,,RELOAD_DONE
,,,,,,,,Bit 1,,READ_DONE
,,,,,,,,Bit 0,,WRITE_DONE
OTP_CTRL0,RW,0xE4,0,,8,,,,Regs,
,,,,,,,,Bit 7,,TM_PWE
,,,,,,,,Bit 6,,TM_PRD
,,,,,,,,Bits 5:4,,
,,,,,,,,Bits 3:1,,PTM
,,,,,,,,Bit 0,,PPROG
OTP_CTRL1,RW,0xE5,0,,8,,,,Regs,
,,,,,,,,Bit 0,,VPP_ON
OTP_WTIM0,RW,0xE6,3C,,8,,,,Regs,
,,,,,,,,Bits 7:0,,WTIM_LO
OTP_WTIM1,RW,0xE7,0F,,8,,,,Regs,
,,,,,,,,Bits 7:0,,WTIM_HI
NVM_DATA0,RW,0xE8,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA0
NVM_DATA1,RW,0xE9,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA1
NVM_DATA2,RW,0xEA,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA2
NVM_DATA3,RW,0xEB,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA3
NVM_DATA4,RW,0xEC,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA4
NVM_DATA5,RW,0xED,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA5
NVM_DATA6,RW,0xEE,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA6
NVM_DATA7,RW,0xEF,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,DATA7
DIE_REV,RO,0xFD,0,,8,,,,Regs,
,,,,,,,,Bits 7:4,,ECO
,,,,,,,,Bits 3:0,,BASE
CHIP_ID,RO,0xFE,16,,8,,,,Regs,
,,,,,,,,Bits 7:0,,ID
PSEMI_ID,RO,0xFF,95,,8,,,,Regs,
,,,,,,,,Bits 7:0,,ID
